"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30377","Login successfully using Page Object Model","","Wed Jun 18 06:55:29 UTC 2025","broken","Wed Jun 18 06:56:00 UTC 2025","","tests\Admin\SearchAdmin.spec.js","",""
"","1640","Login successfully using Page Object Model","Chromium","Tue Jul 01 09:04:40 UTC 2025","passed","Tue Jul 01 09:04:42 UTC 2025","","Login/Login.spec.js","",""
"","16111","Login successfully using Page Object Model","","Mon Jun 16 09:11:34 UTC 2025","passed","Mon Jun 16 09:11:50 UTC 2025","","Login.spec.js","",""
"","8173","Login successfully using Page Object Model","WebKit","Tue Jul 01 09:04:46 UTC 2025","passed","Tue Jul 01 09:04:54 UTC 2025","","Login/Login.spec.js","",""
"","25429","Login by Admin User","Firefox","Tue Jun 24 10:03:36 UTC 2025","failed","Tue Jun 24 10:04:02 UTC 2025","","Admin\SearchAdmin.spec.js","",""
"","7751","Login by Admin User","WebKit","Tue Jun 24 10:03:36 UTC 2025","passed","Tue Jun 24 10:03:44 UTC 2025","","Admin\SearchAdmin.spec.js","",""
"","30101","Search Admin at Admin Page","","Tue Jun 24 03:36:51 UTC 2025","broken","Tue Jun 24 03:37:21 UTC 2025","","tests\Admin\SearchAdmin.spec.js","",""
"","20587","Search Admin at Admin Page","Chromium","Tue Jun 24 10:08:22 UTC 2025","passed","Tue Jun 24 10:08:42 UTC 2025","","Admin\SearchAdmin.spec.js","",""
"","20817","Login successfully using Page Object Model","","Mon Jun 16 10:09:54 UTC 2025","passed","Mon Jun 16 10:10:15 UTC 2025","","tests\Login.spec.js","",""
"","9215","Login by Admin User","Chromium","Tue Jun 24 10:03:36 UTC 2025","passed","Tue Jun 24 10:03:46 UTC 2025","","Admin\SearchAdmin.spec.js","",""
"","3817","Login successfully using Page Object Model","Firefox","Tue Jul 01 09:04:40 UTC 2025","passed","Tue Jul 01 09:04:44 UTC 2025","","Login/Login.spec.js","",""
"","19493","Search Admin at Admin Page","Firefox","Tue Jun 24 10:08:22 UTC 2025","passed","Tue Jun 24 10:08:41 UTC 2025","","Admin\SearchAdmin.spec.js","",""
"","16525","Search Admin at Admin Page","WebKit","Tue Jun 24 10:08:22 UTC 2025","passed","Tue Jun 24 10:08:38 UTC 2025","","Admin\SearchAdmin.spec.js","",""
